STATUS | wrapper  | 2009/04/21 11:26:25 | --> Wrapper Started as Service
INFO   | jvm 1    | 2009/04/21 11:26:48 | 
INFO   | jvm 1    | 2009/04/21 11:26:48 | 11:26:47.359 - [ INFO ] > Default Buddy List Persister <INITED>
INFO   | jvm 1    | 2009/04/21 11:26:48 | Zone: dbZone
INFO   | jvm 1    | 2009/04/21 11:26:48 | 
INFO   | jvm 1    | 2009/04/21 11:26:48 | 	MainRoom           (id: 7, max: 10, pass:N)
INFO   | jvm 1    | 2009/04/21 11:26:48 | 11:26:48.109 - [ INFO ] > Zone Extension [ dbTest ] created, for zone:dbZone
INFO   | jvm 1    | 2009/04/21 11:26:48 | [dbExtension.as]: Initing dbExtension
INFO   | jvm 1    | 2009/04/21 11:26:48 | [dbExtension.as]: DB Manager is not active in this Zone!
INFO   | jvm 1    | 2009/04/21 11:26:48 | 11:26:48.671 - [ INFO ] > Zone Extension [ dbTestAdv ] created, for zone:dbZone
INFO   | jvm 1    | 2009/04/21 11:26:48 | [dbExtensionAdv.as]: DB Manager is not active in this Zone!
INFO   | jvm 1    | 2009/04/21 11:26:49 | 11:26:49.296 - [ INFO ] > Zone Extension [ simpleExt ] created, for zone:dbZone
INFO   | jvm 1    | 2009/04/21 11:26:49 | [simpleExt.as]: Hello from the Simple Extension Example!
INFO   | jvm 1    | 2009/04/21 11:26:49 | 
INFO   | jvm 1    | 2009/04/21 11:26:49 | Zone: sftris
INFO   | jvm 1    | 2009/04/21 11:26:49 | 
INFO   | jvm 1    | 2009/04/21 11:26:49 | 	The Entrance       (id: 8, max: 50, pass:N)
INFO   | jvm 1    | 2009/04/21 11:26:49 | 
INFO   | jvm 1    | 2009/04/21 11:26:49 | Zone: mazeGame
INFO   | jvm 1    | 2009/04/21 11:26:49 | 
INFO   | jvm 1    | 2009/04/21 11:26:49 | 	The Entrance       (id: 9, max: 50, pass:N)
INFO   | jvm 1    | 2009/04/21 11:26:49 | 
INFO   | jvm 1    | 2009/04/21 11:26:49 | Zone: loginZone
INFO   | jvm 1    | 2009/04/21 11:26:49 | 
