94.102.49.174 -  -  [26/Dec/2016:00:06:27 +0000] "GET http://www.baidu.com/cache/global/img/gs.gif HTTP/1.1" 404 1388 
23.251.55.38 -  -  [26/Dec/2016:00:06:28 +0000] "GET http://www.baidu.com/?rands=_19719715778248918465936 HTTP/1.0" 200 4258 
23.251.55.38 -  -  [26/Dec/2016:00:06:28 +0000] "GET http://23.251.55.38/index.html?rands=_160229642427076922763376 HTTP/1.0" 404 1375 
91.196.50.33 -  -  [26/Dec/2016:01:58:36 +0000] "GET http://testp3.pospr.waw.pl/testproxy.php HTTP/1.1" 404 1378 
23.251.55.38 -  -  [26/Dec/2016:08:57:17 +0000] "GET http://www.baidu.com/?rands=_2170414996806060423612168 HTTP/1.0" 200 4258 
23.251.55.38 -  -  [26/Dec/2016:08:57:17 +0000] "GET http://23.251.55.38/index.html?rands=_1585099898213323181635348 HTTP/1.0" 404 1375 
95.25.125.36 -  -  [26/Dec/2016:09:49:46 +0000] "GET http://t20.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.125.36 -  -  [26/Dec/2016:09:49:46 +0000] "POST http://t20.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.125.36 -  -  [26/Dec/2016:09:49:49 +0000] "GET http://158.58.168.237/favicon.ico HTTP/1.1" 404 1376 
95.25.125.36 -  -  [26/Dec/2016:09:49:52 +0000] "POST http://t11.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.125.36 -  -  [26/Dec/2016:09:50:24 +0000] "GET http://t8.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.125.36 -  -  [26/Dec/2016:09:50:24 +0000] "POST http://t8.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.125.36 -  -  [26/Dec/2016:09:50:26 +0000] "GET http://104.156.57.169/favicon.ico HTTP/1.1" 404 1376 
95.25.125.36 -  -  [26/Dec/2016:09:50:27 +0000] "POST http://t17.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
60.191.38.77 -  -  [26/Dec/2016:10:49:46 +0000] "GET / HTTP/1.1" 200 4258 
106.14.57.245 -  -  [26/Dec/2016:17:38:28 +0000] "GET /manager/html HTTP/1.1" 404 1377 
23.251.55.38 -  -  [26/Dec/2016:17:54:18 +0000] "GET http://www.baidu.com/?rands=_123961345300686280624096 HTTP/1.0" 200 4258 
23.251.55.38 -  -  [26/Dec/2016:17:54:18 +0000] "GET http://23.251.55.38/index.html?rands=_126302882402361453761120 HTTP/1.0" 404 1375 
62.244.196.50 -  -  [26/Dec/2016:18:30:49 +0000] "GET / HTTP/1.0" 200 4258 
93.174.93.136 -  -  [26/Dec/2016:21:38:19 +0000] "GET http://www.baidu.com/cache/global/img/gs.gif HTTP/1.1" 404 1388 
95.25.125.36 -  -  [26/Dec/2016:21:57:12 +0000] "GET http://t19.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.125.36 -  -  [26/Dec/2016:21:57:12 +0000] "POST http://t19.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.125.36 -  -  [26/Dec/2016:21:57:14 +0000] "GET http://46.38.62.196/favicon.ico HTTP/1.1" 404 1376 
95.25.125.36 -  -  [26/Dec/2016:21:57:15 +0000] "POST http://t16.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.125.36 -  -  [26/Dec/2016:21:58:21 +0000] "GET http://t8.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.125.36 -  -  [26/Dec/2016:21:58:22 +0000] "POST http://t8.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.125.36 -  -  [26/Dec/2016:21:58:22 +0000] "GET http://23.227.199.190/favicon.ico HTTP/1.1" 404 1376 
95.25.125.36 -  -  [26/Dec/2016:21:58:23 +0000] "POST http://t8.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
